input,expected,metadata
137> Which company has the largest market share in the US Healthcare and Social Assistance industry according to the data?,"Hca Healthcare, Inc. has the largest market share at 1.5%.","{'page': 54, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[53, 11, 30]'}"
138> What is the highest revenue among the companies listed in the US Healthcare and Social Assistance industry?,"The highest revenue is $52,649.0 million, generated by Hca Healthcare, Inc.","{'page': 54, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[30, 15, 54]'}"
139> Which company in the US Healthcare and Social Assistance industry has the highest profit margin?,Quest Diagnostics Inc. has the highest profit margin at 23.8%.,"{'page': 54, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[54, 19, 15]'}"
140> Are there any companies in the US Healthcare and Social Assistance industry operating at a loss based on the provided data?,"Yes, Brookdale Senior Living Inc. is operating at a loss with a profit of -$174.2 million and a profit margin of -5.3%.","{'page': 54, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'other', 'references': '[9, 53, 15]'}"
141> What are the projected revenue and profit figures for the Healthcare and Social Assistance industry in the US for 2024?,The projected industry revenue for 2024 is $52.6bn and the projected industry profit is $6.6bn.,"{'page': 55, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[15, 56, 16]'}"
142> How many employees are expected to be working in the Healthcare and Social Assistance industry in the US by 2024?,"The total number of employees projected for 2024 is 290,000.","{'page': 55, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[17, 56, 18]'}"
"143> What is Hca Healthcare, Inc.'s projected market share in the Healthcare and Social Assistance industry for 2024?","Hca Healthcare, Inc.'s projected market share for 2024 is 1.5%.","{'page': 55, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[55, 54, 11]'}"
"144> In which industries does Hca Healthcare, Inc. have a notable market share in the US?","Hca Healthcare, Inc. has a notable market share in at least three industries: Healthcare and Social Assistance, Hospitals, and Ambulatory Surgery Centers.","{'page': 55, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[55, 54, 11]'}"
"145> How has Hca Healthcare, Inc.'s industry revenue and market share changed from 2008 to 2014?","The industry revenue increased from $20,382 million in 2008 to $30,366 million in 2014, while the market share grew from 1.1% to 1.4% during the same period.","{'page': 55, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[55, 54, 79]'}"
146> What is the projected value for the US Healthcare and Social Assistance industry in 2024?,The projected value for the US Healthcare and Social Assistance industry in 2024 is 52649.,"{'page': 56, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[56, 77, 15]'}"
147> In which year did the US Healthcare and Social Assistance industry experience its highest growth rate?,"The highest growth rate was in 2016, with a value increase from 35408 to 41490.","{'page': 56, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'other', 'references': '[56, 75, 15]'}"
148> How has the value of the US Healthcare and Social Assistance industry changed from 2020 to 2023?,"The value increased from 51533 in 2020 to 52649 in 2023, and has remained stable at 52649 from 2021 to 2023.","{'page': 56, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[77, 75, 56]'}"
149> What is Quest Diagnostics Inc.'s market share in the Healthcare and Social Assistance industry in the US for 2024?,Quest Diagnostics Inc.'s market share in the Healthcare and Social Assistance industry in the US for 2024 is 0.3%.,"{'page': 57, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[58, 57, 11]'}"
150> What is the projected industry revenue for Quest Diagnostics Inc. in 2024?,The projected industry revenue for Quest Diagnostics Inc. in 2024 is $10.3bn.,"{'page': 57, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[57, 58, 58]'}"
151> What are the main brands and trading names associated with Quest Diagnostics Inc.?,"The main brands and trading names associated with Quest Diagnostics Inc. are AmeriPath, Dermpath Diagnostics, ExamOne, Quanum, and Quest Diagnostics.","{'page': 57, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[57, 58, 58]'}"
152> In which other industries does Quest Diagnostics Inc. operate within the US healthcare sector?,"Quest Diagnostics Inc. operates in Clinical Trial Support Services, Diagnostic & Medical Laboratories, and Toxicology Laboratories in the US healthcare sector.","{'page': 57, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[57, 58, 58]'}"
153> How has Quest Diagnostics Inc.'s industry revenue changed from 2008 to 2013?,"Quest Diagnostics Inc.'s industry revenue increased from $5253 million in 2008 to $6237 million in 2013, showing steady growth over the period.","{'page': 57, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[57, 58, 58]'}"
154> What is the projected market size for Healthcare and Social Assistance in the US for 2024?,The projected market size for Healthcare and Social Assistance in the US for 2024 is 10335.,"{'page': 58, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[56, 15, 17]'}"
155> How has Quest Diagnostics' COVID-19 testing capability evolved since 2020?,"Since introducing COVID-19 tests in March 2020, Quest Diagnostics has performed about 65.0 million COVID-19 molecular diagnostic tests, expanded from a single laboratory to two dozen labs throughout the US, received 20 emergency use authorizations from the FDA, developed advanced testing capabilities, and collaborated with the CDC and other entities to identify COVID-19 variants.","{'page': 58, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[58, 58, 57]'}"
156> What recent acquisition has Quest Diagnostics made in the patient engagement sector?,"In 2022, Quest Diagnostics entered into an agreement to purchase Pack Health, a patient-engagement company that helps individuals adopt healthier behaviors and specializes in addressing chronic health conditions and comorbidities affected by mental health, lifestyle behavior, access to care and social determinants of health.","{'page': 58, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[58, 57, 58]'}"
157> What are the key practices related to LGBTQ+ workplace equality in the US healthcare and social assistance industry?,"The image mentions practices related to LGBTQ+ workplace equality, but does not provide specific details about these practices.","{'page': 59, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[59, 34, 48]'}"
158> What is the projected revenue for Feeding America in 2024?,The projected revenue for Feeding America in 2024 is $3.4bn.,"{'page': 60, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[60, 60, 61]'}"
159> How has Feeding America's profit margin changed from 2016 to 2024?,Feeding America's profit margin has increased significantly from 0.5% in 2016 to 8.5% in 2024.,"{'page': 60, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'other', 'references': '[60, 60, 61]'}"
160> What is Feeding America's market share in the Healthcare and Social Assistance industry in 2024?,Feeding America's market share in the Healthcare and Social Assistance industry in 2024 is 0.1%.,"{'page': 60, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[60, 11, 54]'}"
161> In which industries does Feeding America have a notable market share besides Healthcare and Social Assistance?,"Feeding America has a notable market share in Community Food Services, Natural Disaster & Emergency Relief Services, and Healthcare and Social Assistance industries.","{'page': 60, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[60, 11, 61]'}"
162> What was the percentage increase in private donations received by Feeding America?,Feeding America received a 19.0% increase in private donations.,"{'page': 61, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[61, 60, 60]'}"
163> What is Feeding America's efficiency rating?,Feeding America has a 99.0% efficiency rating.,"{'page': 61, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[61, 60, 60]'}"
164> How much is Feeding America investing to fight food insecurity?,Feeding America is investing $1.0 billion to fight food insecurity.,"{'page': 61, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[61, 60, 60]'}"
165> How much did Feeding America raise since the start of the COVID-19 pandemic?,Feeding America reported that it had raised nearly $1.0 billion since the start of the COVID-19 (coronavirus) pandemic.,"{'page': 61, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[61, 60, 60]'}"
166> What is the projected revenue and profit for Brookdale Senior Living Inc. in 2024?,"The projected revenue for Brookdale Senior Living Inc. in 2024 is $3.3bn, with a projected loss of $174.2m.","{'page': 62, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[62, 62, 63]'}"
167> What is Brookdale Senior Living Inc.'s market share in the Healthcare and Social Assistance industry for 2024?,Brookdale Senior Living Inc.'s market share in the Healthcare and Social Assistance industry for 2024 is projected to be 0.1%.,"{'page': 62, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[62, 63, 11]'}"
168> How has Brookdale Senior Living Inc.'s industry revenue changed from 2008 to 2022?,"Brookdale Senior Living Inc.'s industry revenue increased from $3624 million in 2008 to $4977 million in 2016, then decreased to $3276 million in 2022.","{'page': 62, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'other', 'references': '[62, 62, 63]'}"
169> What trend can be observed in Brookdale Senior Living Inc.'s profit margin from 2008 to 2022?,"Brookdale Senior Living Inc.'s profit margin remained stable at -0.6% from 2008 to 2016, then fluctuated with a significant drop to -13.1% in 2018, before improving to -5.3% in 2022.","{'page': 62, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'other', 'references': '[62, 62, 63]'}"
170> How has COVID-19 affected Brookdale Senior Living Inc.'s operations in 2022?,"As of January 2022, nearly all Brookdale communities are open for new resident move-ins, and the resident vaccine acceptance rate has surpassed 95.0% as of 2022.","{'page': 63, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[63, 62, 62]'}"
171> What recent expansion or renovation has Brookdale Senior Living undertaken?,"In 2022, Brookdale Senior Living announced the reopening of the Brookdale Galleria, a Houston senior living facility, following a $12.0 million renovation.","{'page': 63, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[62, 63, 62]'}"
172> How is Brookdale Senior Living expanding its memory care and Alzheimer's treatment programs?,"In 2021, Brookdale opened several memory care and dementia care additions, including a $12.0 million memory care program at Brookdale Vernon Hills and a $7.5 million Alzheimer's and dementia care community at Brookdale Jackson Oaks.","{'page': 63, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[63, 62, 62]'}"
173> What is the projected industry revenue for Fresenius Kabi AG in 2024?,The projected industry revenue for Fresenius Kabi AG in 2024 is $677.5m.,"{'page': 64, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[64, 64, 16]'}"
174> How many total employees is Fresenius Kabi AG expected to have in 2024?,"Fresenius Kabi AG is expected to have 42,063 total employees in 2024.","{'page': 64, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[64, 64, 17]'}"
175> How has Fresenius Kabi AG's industry revenue changed from 2016 to 2024?,Fresenius Kabi AG's industry revenue increased from $155 million in 2016 to $678 million in 2024.,"{'page': 64, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'other', 'references': '[64, 64, 16]'}"
176> What has been the trend in Fresenius Kabi AG's profit margin from 2016 to 2024?,Fresenius Kabi AG's profit margin has remained constant at 10.2% from 2016 to 2024.,"{'page': 64, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[64, 64, 19]'}"
177> What are the main external factors influencing the Healthcare and Social Assistance industry?,"The main external factors influencing the Healthcare and Social Assistance industry are demographic, economic, and regulatory factors.","{'page': 66, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[12, 67, 22]'}"
178> How regulated is the healthcare and social assistance sector in the US?,"Healthcare and social assistance facilities operate within one of the most regulated environments. A dizzying amount of federal, state and local laws apply in this sector, enforced by multiple agencies and regulators.","{'page': 67, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[70, 71, 69]'}"
179> What financial challenges have healthcare providers recently faced?,"Healthcare providers received over $200.0 billion to ease pandemic-related financial and operational pressures. However, since pandemic relief fizzled out, healthcare facilities have faced unprecedented financial strain.","{'page': 67, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[74, 21, 20]'}"
180> What is the projected growth in the number of people with private health insurance for 2024?,The growth in the number of people with private health insurance is projected to be 0.59 for 2024.,"{'page': 67, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'plot', 'answer_type': 'numeric', 'references': '[75, 75, 67]'}"
181> What is the projected growth rate for federal funding of Medicare and Medicaid in 2024?,The projected growth rate for federal funding of Medicare and Medicaid in 2024 is 0.99.,"{'page': 68, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'plot', 'answer_type': 'numeric', 'references': '[68, 36, 16]'}"
182> What are major sources of revenue for healthcare providers in the US?,Reimbursements from Medicaid and Medicare are a major source of revenue for healthcare providers.,"{'page': 68, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[35, 36, 13]'}"
183> How do Medicaid and Medicare coverage rates affect access to healthcare services?,"Higher coverage rates lower out-of-pocket costs for patients, increasing access to healthcare services.","{'page': 68, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[68, 36, 69]'}"
184> Which age group is a main driver behind rising healthcare spending in the US?,"Adults 65 and older are a main driver behind rising healthcare spending, as this age group requires more frequent, high-cost services.","{'page': 68, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[68, 20, 13]'}"
185> What are the major regulations impacting the US healthcare and social assistance industry?,"The major regulations include the Certificate of Need (CON), Antikickback Statute and Physician Self-Referral Laws, Health Insurance Portability and Accountability Act (HIPAA), The HITECH Act, Centers for Medicare and Medicaid Services provisions, and The No Surprises Act.","{'page': 69, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[70, 69, 71]'}"
186> How does HIPAA affect healthcare providers in the US?,"HIPAA requires all healthcare providers, including mental health and substance abuse clinics, to comply with controls on the use of patient health data, including how it is stored, shared, or sent.","{'page': 69, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[69, 70, 50]'}"
187> What recent regulation has been implemented to protect patients from unexpected medical bills?,"The No Surprises Act (NSA) was implemented on January 1, 2022, establishing new federal protections against surprise medical bills for emergency services, nonemergency services from out-of-network providers at in-network facilities, and services from out-of-network air ambulance service providers.","{'page': 69, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[69, 70, 36]'}"
188> What are the key regulatory bodies overseeing COVID-19 regulations in the US healthcare industry?,"The Centers for Disease Control and Prevention (CDC), the Occupational Safety and Health Administration (OSHA), and the United States Department of Health and Human Services (HHS) are the key regulatory bodies determining and mandating COVID-19 regulations in the US healthcare industry.","{'page': 70, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[70, 69, 71]'}"
189> How widespread are the COVID-19 regulations in the US healthcare sector?,All healthcare industries are subject to various regulations and protocols to mitigate and monitor the spread of COVID-19 and its variants to prevent future outbreaks.,"{'page': 70, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[70, 69, 26]'}"
190> Is there uniformity in COVID-19 regulations across all US states for the healthcare industry?,"No, exact regulation can vary from state to state.","{'page': 70, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[70, 69, 47]'}"
191> How much federal funding did healthcare facilities receive during the COVID-19 pandemic?,"Healthcare facilities were allocated over $100.0 billion from the Coronavirus Aid, Relief and Economic Security (CARES) Act and $75.0 billion from the Paycheck Protection Program.","{'page': 71, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[36, 71, 70]'}"
192> What is the scope of the American Hospital Association's membership?,"The American Hospital Association (AHA) comprises over 5,000 hospitals, health care systems, networks and 43,000 individual members.","{'page': 71, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[71, 70, 7]'}"
193> What are the main sources of funding for healthcare facilities in the US?,"The main sources include reimbursements from the Centers for Medicare and Medicaid Services (CMS), federal support programs like those during COVID-19, and direct funding or funding that promotes access from the federal government.","{'page': 71, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[36, 71, 68]'}"
194> What is the profit margin for the Healthcare and Social Assistance industry in the US?,The profit margin for the Healthcare and Social Assistance industry in the US is 10.0%.,"{'page': 73, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[15, 19, 9]'}"
195> What is the average wage in the Healthcare and Social Assistance sector?,"The average wage in the Healthcare and Social Assistance sector is $59,582.","{'page': 73, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[73, 9, 15]'}"
196> What is the largest cost component in the Healthcare and Social Assistance industry?,"The largest cost component in the Healthcare and Social Assistance industry is Wages, accounting for 40.1% of Revenue.","{'page': 73, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'numeric', 'references': '[30, 9, 10]'}"
197> What are the main cost challenges facing the Healthcare and Social Assistance sector in the US?,"Rising labor, supply, and drug costs characterize the Healthcare and Social Assistance sector. Providers are contending with unprecedented financial challenges across the board.","{'page': 73, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[13, 36, 74]'}"
198> What is the current state of labor supply in the Healthcare and Social Assistance sector?,Labor shortages across this sector persist and are pressuring wage growth. Staffing shortages in the Healthcare and Social Assistance sector predate the pandemic and were made worse as the nation's health and social assistance systems dealt with the onset of COVID-19.,"{'page': 73, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[74, 48, 20]'}"
199> What are the main factors contributing to labor shortages in the healthcare sector?,"Labor shortages are driven by complex reasons varying between settings, exacerbated by the pandemic which led to burnout and career changes among healthcare workers. Shortages of new workers and high turnover rates of existing workers are also contributing factors.","{'page': 74, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[34, 48, 74]'}"
200> How have financial pressures affected profits for healthcare and social assistance providers?,"Financial pressures have eroded profits. While pandemic relief funding kept providers profitable in 2020-2021, a drop-off in funding in 2022 strained providers as costs continued rising. High inflation, rising wages, and increasing operating costs are expected to pressure profits in 2024.","{'page': 74, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'text', 'answer_type': 'other', 'references': '[74, 74, 13]'}"
201> What was the trend in revenue per enterprise for the healthcare and social assistance industry between 2005 and 2008?,The revenue per enterprise increased slightly from $1.0 million in 2005 to $1.1 million in 2008.,"{'page': 74, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[77, 79, 74]'}"
202> What is the projected growth trend for the US Healthcare and Social Assistance industry from 2024 to 2030?,"The industry is projected to grow steadily, with revenue increasing from $148,559 million in 2024 to $151,328 million in 2030.","{'page': 75, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[75, 25, 56]'}"
203> In which year does the US Healthcare and Social Assistance industry reach its highest revenue according to the data?,"The industry reaches its highest revenue of $158,275 million in 2021.","{'page': 75, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[56, 15, 75]'}"
204> How has the revenue of the US Healthcare and Social Assistance industry changed from 2009 to 2023?,"The industry revenue has grown from $136,753 million in 2009 to $149,090 million in 2023, showing an overall increase despite some fluctuations.","{'page': 75, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[77, 75, 56]'}"
205> What is the projected revenue for the US Healthcare and Social Assistance industry in 2030?,"The projected revenue for the US Healthcare and Social Assistance industry in 2030 is $4,146,094.8 million.","{'page': 77, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[77, 15, 13]'}"
206> How many people are expected to be employed in the US Healthcare and Social Assistance industry by 2030?,"By 2030, 27,398,086 people are expected to be employed in the US Healthcare and Social Assistance industry.","{'page': 77, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[77, 17, 15]'}"
207> What is the projected number of Healthcare and Social Assistance establishments in the US for 2030?,"The projected number of Healthcare and Social Assistance establishments in the US for 2030 is 3,597,535.","{'page': 77, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[77, 75, 56]'}"
208> What are the projected wages for the US Healthcare and Social Assistance industry in 2030?,"The projected wages for the US Healthcare and Social Assistance industry in 2030 are $1,638,488.7 million.","{'page': 77, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[77, 75, 75]'}"
209> What was the highest annual revenue growth rate for the Healthcare and Social Assistance industry in the US between 2006 and 2030?,The highest annual revenue growth rate was 4.9% in 2021.,"{'page': 79, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[77, 79, 75]'}"
"210> How did employment in the Healthcare and Social Assistance industry change in 2021, and how does this compare to other years?","Employment decreased by 2.0% in 2021, which is the only negative employment growth in the entire dataset.","{'page': 79, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[56, 74, 17]'}"
211> In which year did the Healthcare and Social Assistance industry experience the largest divergence between revenue growth and establishment growth?,"In 2010, revenue grew by 2.3% while establishments grew by 3.0%, showing a 0.7 percentage point difference.","{'page': 79, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[79, 77, 77]'}"
212> What was the highest annual wage growth rate in the Healthcare and Social Assistance industry between 2006 and 2030?,The highest annual wage growth rate was 4.3% in 2015.,"{'page': 79, 'file': '62 Healthcare and Social Assistance in the US Industry Report.pdf', 'source_type': 'table', 'answer_type': 'numeric', 'references': '[75, 77, 79]'}"
